Mês/Ano;UF;Município;Zona;Quantidade;%
Junho - 2013;PI;SANTA CRUZ DO PIAUÍ;66;5.168;0,220
Junho - 2013;PI;SANTA CRUZ DOS MILAGRES;76;3.454;0,147
Junho - 2013;PI;SANTA FILOMENA;23;4.529;0,193
Junho - 2013;PI;SANTA LUZ;59;4.357;0,186
Junho - 2013;PI;SANTA ROSA DO PIAUÍ;5;4.362;0,186
Junho - 2013;PI;SANTANA DO PIAUÍ;62;3.721;0,159
Junho - 2013;PI;SANTO ANTÔNIO DE LISBOA;62;4.920;0,210
Junho - 2013;PI;SANTO ANTÔNIO DOS MILAGRES;70;1.773;0,076
Junho - 2013;PI;SANTO INÁCIO DO PIAUÍ;81;3.209;0,137
Junho - 2013;PI;SÃO BRAZ DO PIAUÍ;95;3.783;0,161
Junho - 2013;PI;SÃO FÉLIX DO PIAUÍ;76;3.524;0,150
Junho - 2013;PI;SÃO FRANCISCO DE ASSIS DO PIAUÍ;50;4.077;0,174
Junho - 2013;PI;SÃO FRANCISCO DO PIAUÍ;5;5.370;0,229
Junho - 2013;PI;SÃO GONÇALO DO GURGUÉIA;35;2.303;0,098
Junho - 2013;PI;SÃO GONÇALO DO PIAUÍ;70;4.455;0,190
Junho - 2013;PI;SÃO JOÃO DA CANABRAVA;93;4.267;0,182
Junho - 2013;PI;SÃO JOÃO DA FRONTEIRA;21;4.675;0,199
Junho - 2013;PI;SÃO JOÃO DA SERRA;34;6.270;0,267
Junho - 2013;PI;SÃO JOÃO DA VARJOTA;5;3.807;0,162
Junho - 2013;PI;SÃO JOÃO DO ARRAIAL;80;6.215;0,265
Junho - 2013;PI;SÃO JOÃO DO PIAUÍ;20;13.351;0,569
Junho - 2013;PI;SÃO JOSÉ DO DIVINO;21;4.666;0,199
Junho - 2013;PI;SÃO JOSÉ DO PEIXE;60;3.144;0,134
Junho - 2013;PI;SÃO JOSÉ DO PIAUÍ;62;5.611;0,239
Junho - 2013;PI;SÃO JULIÃO;40;5.239;0,223
Junho - 2013;PI;SÃO LOURENÇO DO PIAUÍ;13;4.260;0,182
Junho - 2013;PI;SÃO LUIS DO PIAUÍ;93;2.371;0,101
Junho - 2013;PI;SÃO MIGUEL DA BAIXA GRANDE;76;2.358;0,101
Junho - 2013;PI;SÃO MIGUEL DO FIDALGO;5;2.455;0,105
Junho - 2013;PI;SÃO MIGUEL DO TAPUIO;39;15.400;0,656
Junho - 2013;PI;SÃO PEDRO DO PIAUÍ;30;10.651;0,454
Junho - 2013;PI;SÃO RAIMUNDO NONATO;13;21.219;0,904
Junho - 2013;PI;SEBASTIÃO BARROS;22;3.985;0,170
Junho - 2013;PI;SEBASTIÃO LEAL;28;3.266;0,139
Junho - 2013;PI;SIGEFREDO PACHECO;7;7.851;0,335
Junho - 2013;PI;SIMÕES;56;11.168;0,476
Junho - 2013;PI;SIMPLÍCIO MENDES;37;9.282;0,396
Junho - 2013;PI;SOCORRO DO PIAUÍ;73;4.268;0,182
Junho - 2013;PI;SUSSUAPARA;62;5.428;0,231
Junho - 2013;PI;TAMBORIL DO PIAUÍ;36;2.722;0,116
Junho - 2013;PI;TANQUE DO PIAUÍ;82;2.370;0,101
Junho - 2013;PI;TERESINA;1;136.636;5,824
Junho - 2013;PI;TERESINA;2;82.019;3,496
Junho - 2013;PI;TERESINA;63;96.305;4,105
Junho - 2013;PI;TERESINA;97;114.184;4,867
Junho - 2013;PI;TERESINA;98;97.904;4,173
Junho - 2013;PI;UNIÃO;16;33.625;1,433
Junho - 2013;PI;URUÇUÍ;14;14.860;0,633
Junho - 2013;PI;VALENÇA DO PIAUÍ;18;15.985;0,681
Junho - 2013;PI;VÁRZEA BRANCA;95;3.883;0,166
Junho - 2013;PI;VÁRZEA GRANDE;82;3.890;0,166
Junho - 2013;PI;VERA MENDES;57;3.074;0,131
Junho - 2013;PI;VILA NOVA DO PIAUÍ;68;2.589;0,110
Junho - 2013;PI;WALL FERRAZ;66;3.609;0,154
