codigo_ibge,municipio,estado,mesorregiao,microrregiao,populacao_censo_2022,populacao_estimada_ultimo_ano,ano_estimativa,sexo_masculino,sexo_feminino,sexo_total,faixa_0_14,faixa_15_59,faixa_60_mais,faixa_total,cor_branca,cor_preta,cor_parda,cor_amarela,cor_indigena,cor_total,taxa_alfabetizacao_15_mais,taxa_analfabetismo_15_mais,pop_urbana,pop_rural,taxa_urbana,taxa_rural,renda_per_capita,pct_vulneraveis_pobreza,ano_renda_vulnerabilidade
2201988,Brejo do Piauí,PI,Sudoeste Piauiense,São Raimundo Nonato,3904,3964,2025,1972,1932,3904,756,2516,632,3904,748,464,2691,,1,3904,74.17,25.83,1511,2393,38.7,61.3,218.15,73.8,2010
2202000,Buriti dos Lopes,PI,Norte Piauiense,Litoral Piauiense,19654,20130,2025,9829,9825,19654,4528,12384,2742,19654,4107,2214,13308,11,14,19654,76.54,23.46,12663,6991,64.43,35.57,236.13,72.64,2010
2202026,Buriti dos Montes,PI,Centro-Norte Piauiense,Campo Maior,7434,7517,2025,3851,3583,7434,1437,4801,1196,7434,1135,411,5878,1,9,7434,76.57,23.43,2712,4722,36.48,63.52,212.72,72.37,2010
2202059,Cabeceiras do Piauí,PI,Norte Piauiense,Baixo Parnaíba Piauiense,10212,10466,2025,5152,5060,10212,2003,6478,1731,10212,1071,1144,7987,10,,10212,73.21,26.79,2407,7805,23.57,76.43,229.86,68.73,2010
2202075,Cajazeiras do Piauí,PI,Sudeste Piauiense,Picos,3108,3135,2025,1565,1543,3108,629,1960,519,3108,167,565,2376,,,3108,80.96,19.04,1174,1934,37.77,62.23,210.45,72.97,2010
2202083,Cajueiro da Praia,PI,Norte Piauiense,Litoral Piauiense,7957,8246,2025,4058,3899,7957,1666,5255,1036,7957,2081,447,5419,9,1,7957,80.86,19.14,5688,2269,71.48,28.52,246.88,78.51,2010
2202091,Caldeirão Grande do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,5503,5602,2025,2759,2744,5503,1101,3537,865,5503,1713,269,3521,,,5503,74.03,25.97,2153,3350,39.12,60.88,262.36,69.03,2010
2202109,Campinas do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,4938,4964,2025,2535,2403,4938,973,3049,916,4938,601,913,3413,11,,4938,77.4,22.6,1680,3258,34.02,65.98,209,71.36,2010
2202117,Campo Alegre do Fidalgo,PI,Sudeste Piauiense,Alto Médio Canindé,4616,4698,2025,2390,2226,4616,959,2999,658,4616,1161,524,2930,,1,4616,69.65,30.35,1350,3266,29.25,70.75,213.61,79.3,2010
2202133,Campo Grande do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,6020,6211,2025,3011,3009,6020,1256,3864,900,6020,1345,672,3993,2,8,6020,74.45,25.55,2357,3663,39.15,60.85,237.66,66.39,2010
2202174,Campo Largo do Piauí,PI,Norte Piauiense,Baixo Parnaíba Piauiense,7419,7669,2025,3805,3614,7419,1908,4658,853,7419,681,1454,5278,4,2,7419,71.8,28.2,1697,5722,22.87,77.13,158.02,81.77,2010
2202208,Campo Maior,PI,Centro-Norte Piauiense,Campo Maior,45793,47119,2025,21973,23820,45793,8332,29550,7911,45793,7094,3228,35415,34,21,45793,84.11,15.89,34532,11261,75.41,24.59,401.74,53.87,2010
2202251,Canavieira,PI,Sudoeste Piauiense,Floriano,3414,3404,2025,1754,1660,3414,707,2049,658,3414,484,528,2379,22,1,3414,79.53,20.47,1695,1719,49.65,50.35,209.47,71.16,2010
2202307,Canto do Buriti,PI,Sudoeste Piauiense,São Raimundo Nonato,19365,19639,2025,9614,9751,19365,3812,12200,3353,19365,4464,1589,13302,5,5,19365,78.63,21.37,11781,7584,60.84,39.16,279.71,65.95,2010
2202406,Capitão de Campos,PI,Centro-Norte Piauiense,Campo Maior,11100,11362,2025,5446,5654,11100,2293,6976,1831,11100,2026,1187,7858,5,24,11100,77.06,22.94,6604,4496,59.5,40.5,248.79,66,2010
2202455,Capitão Gervásio Oliveira,PI,Sudeste Piauiense,Alto Médio Canindé,3974,4071,2025,2064,1910,3974,809,2521,644,3974,1044,251,2671,1,7,3974,76.49,23.51,1488,2486,37.44,62.56,182.53,78.48,2010
2202505,Caracol,PI,Sudoeste Piauiense,São Raimundo Nonato,10318,10546,2025,5248,5070,10318,2430,6542,1346,10318,1893,1313,7111,,1,10318,70.49,29.51,4045,6273,39.2,60.8,221.08,75.35,2010
2202539,Caraúbas do Piauí,PI,Norte Piauiense,Litoral Piauiense,5630,5581,2025,2852,2778,5630,1219,3581,830,5630,1258,553,3819,,,5630,68.74,31.26,1013,4617,17.99,82.01,158.13,82.9,2010
2202554,Caridade do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,5033,5176,2025,2562,2471,5033,1102,3220,711,5033,1319,471,3241,,2,5033,75.15,24.85,2323,2710,46.16,53.84,203.34,76.33,2010
2202604,Castelo do Piauí,PI,Centro-Norte Piauiense,Campo Maior,19288,19669,2025,9572,9716,19288,4161,11587,3540,19288,3877,1952,13414,40,4,19288,76.96,23.04,11411,7877,59.16,40.84,270.82,64.17,2010
2202653,Caxingó,PI,Norte Piauiense,Litoral Piauiense,5496,5682,2025,2843,2653,5496,1277,3537,682,5496,1052,657,3784,3,,5496,70.4,29.6,1013,4483,18.43,81.57,177.35,78.5,2010
2202703,Cocal,PI,Norte Piauiense,Litoral Piauiense,28212,29302,2025,14314,13898,28212,6224,18236,3752,28212,8788,1292,18091,39,1,28212,73.29,26.71,12630,15582,44.77,55.23,198.58,76.65,2010
2202711,Cocal de Telha,PI,Centro-Norte Piauiense,Campo Maior,4911,5046,2025,2438,2473,4911,932,3114,865,4911,662,412,3836,1,,4911,75.37,24.63,2693,2218,54.84,45.16,245.15,67.59,2010
2202729,Cocal dos Alves,PI,Norte Piauiense,Litoral Piauiense,6386,6596,2025,3174,3212,6386,1382,4164,840,6386,2461,115,3810,,,6386,69.24,30.76,3127,3259,48.97,51.03,183.59,77.22,2010
2202737,Coivaras,PI,Centro-Norte Piauiense,Teresina,4117,4249,2025,2120,1997,4117,902,2544,671,4117,552,323,3240,,2,4117,77.95,22.05,1664,2453,40.42,59.58,234.94,71.37,2010
2202752,Colônia do Gurguéia,PI,Sudoeste Piauiense,Bertolínia,6150,6294,2025,3057,3093,6150,1356,3857,937,6150,1129,763,4255,,3,6150,83.69,16.31,4880,1270,79.35,20.65,291.37,63.07,2010
2202778,Colônia do Piauí,PI,Sudeste Piauiense,Picos,6994,7067,2025,3502,3492,6994,1322,4397,1275,6994,869,1814,4310,,1,6994,74.89,25.11,2846,4148,40.69,59.31,277.73,63.09,2010
2202802,Conceição do Canindé,PI,Sudeste Piauiense,Alto Médio Canindé,4932,5078,2025,2464,2468,4932,967,3029,936,4932,1331,512,3085,,4,4932,77.35,22.65,2587,2345,52.45,47.55,258.93,70.62,2010
2202851,Coronel José Dias,PI,Sudoeste Piauiense,São Raimundo Nonato,4250,4291,2025,2232,2018,4250,803,2674,773,4250,930,545,2768,2,5,4250,75.22,24.78,1476,2774,34.73,65.27,200.41,73.36,2010
2202901,Corrente,PI,Sudoeste Piauiense,Chapadas do Extremo Sul Piauiense,27278,28381,2025,13787,13491,27278,6346,17280,3652,27278,4155,4114,18909,71,29,27278,86.72,13.28,17380,9898,63.71,36.29,378.39,59.61,2010
2203008,Cristalândia do Piauí,PI,Sudoeste Piauiense,Chapadas do Extremo Sul Piauiense,7356,7431,2025,3865,3491,7356,1788,4384,1184,7356,1175,1013,5149,17,2,7356,79.27,20.73,3351,4005,45.55,54.45,204.49,77.16,2010
2203107,Cristino Castro,PI,Sudoeste Piauiense,Alto Médio Gurguéia,10503,10801,2025,5267,5236,10503,2576,6464,1463,10503,1567,1213,7719,,4,10503,82.02,17.98,7609,2894,72.45,27.55,307.32,66.9,2010
2203206,Curimatá,PI,Sudoeste Piauiense,Chapadas do Extremo Sul Piauiense,11270,11581,2025,5690,5580,11270,2607,6938,1725,11270,1504,994,8757,3,12,11270,87.41,12.59,7960,3310,70.63,29.37,285.52,64.3,2010
2203230,Currais,PI,Sudoeste Piauiense,Alto Médio Gurguéia,4854,4977,2025,2561,2293,4854,1161,2959,734,4854,611,403,3521,,319,4854,79.39,20.61,1473,3381,30.35,69.65,168.68,78.14,2010
