territorio,municipio,codigo_ibge,populacao_censo_2022,populacao_estimada,ano_estimativa
"Chapada das Mangabeiras","Manoel Emídio","2205904","5209","5315","2025"
"Chapada das Mangabeiras","Monte Alegre do Piauí","2206605","10660","10928","2025"
"Chapada das Mangabeiras","Morro Cabeça no Tempo","2206654","4377","4456","2025"
"Chapada das Mangabeiras","Palmeira do Piauí","2207405","4952","5047","2025"
"Chapada das Mangabeiras","Parnaguá","2207603","10103","10282","2025"
"Chapada das Mangabeiras","Redenção do Gurgueia","2208700","8394","8565","2025"
"Chapada das Mangabeiras","Riacho Frio","2208858","4165","4238","2025"
"Chapada das Mangabeiras","Santa Filomena","2209203","6087","6210","2025"
"Chapada das Mangabeiras","Santa Luz","2209302","5336","5418","2025"
"Chapada das Mangabeiras","São Gonçalo do Gurgueia","2209757","2947","3026","2025"
"Chapada das Mangabeiras","Sebastião Barros","2210623","3202","3210","2025"
